,fips,county,st,pred_diff
9543,17005,Bond,IL,-4.2
9559,17007,Boone,IL,-0.8
9575,17009,Brown,IL,1.6
9591,17011,Bureau,IL,4.8
9607,17013,Calhoun,IL,-1.0
9623,17015,Carroll,IL,-3.2
9639,17017,Cass,IL,0.0
9655,17019,Champaign,IL,2.2
9671,17021,Christian,IL,3.6
9687,17023,Clark,IL,6.8
9703,17025,Clay,IL,-1.2
9719,17027,Clinton,IL,-2.4
9735,17029,Coles,IL,-2.8
9751,17031,Cook,IL,1.8
9767,17033,Crawford,IL,4.4
9783,17035,Cumberland,IL,-2.0
9799,17037,Dekalb,IL,-1.8
9815,17039,De Witt,IL,2.8
9831,17041,Douglas,IL,-0.8
9847,17043,Dupage,IL,-1.2
9863,17045,Edgar,IL,-1.6
9879,17047,Edwards,IL,11.4
9895,17049,Effingham,IL,-3.0
9911,17051,Fayette,IL,0.0
9927,17053,Ford,IL,3.8
9943,17055,Franklin,IL,8.2
9959,17057,Fulton,IL,0.6
9975,17059,Gallatin,IL,7.6
9991,17061,Greene,IL,-1.0
10007,17063,Grundy,IL,4.4
10023,17065,Hamilton,IL,-5.0
10039,17067,Hancock,IL,-0.8
10055,17069,Hardin,IL,1.0
10071,17071,Henderson,IL,-9.8
10087,17073,Henry,IL,-7.2
10103,17075,Iroquois,IL,3.6
10119,17077,Jackson,IL,0.2
10135,17079,Jasper,IL,-0.6
10151,17081,Jefferson,IL,-2.2
10167,17083,Jersey,IL,6.0
10183,17085,Jo Daviess,IL,-2.8
10199,17087,Johnson,IL,2.2
10215,17089,Kane,IL,0.8
10231,17091,Kankakee,IL,5.0
10247,17093,Kendall,IL,0.2
10263,17095,Knox,IL,-4.6
10279,17097,Lake,IL,0.8
10295,17099,Lasalle,IL,7.8
10311,17101,Lawrence,IL,4.2
10327,17103,Lee,IL,5.8
10343,17105,Livingston,IL,3.8
10359,17107,Logan,IL,-3.2
10375,17109,Mcdonough,IL,0.6
10391,17111,Mchenry,IL,2.4
10407,17113,Mclean,IL,-2.2
10423,17115,Macon,IL,1.4
10439,17117,Macoupin,IL,-3.4
10455,17119,Madison,IL,4.2
10471,17121,Marion,IL,8.6
10487,17123,Marshall,IL,4.4
10503,17125,Mason,IL,3.8
10519,17127,Massac,IL,9.8
10535,17129,Menard,IL,-0.8
10551,17131,Mercer,IL,-1.0
10567,17133,Monroe,IL,3.8
10583,17135,Montgomery,IL,-1.2
10599,17137,Morgan,IL,-4.2
10615,17139,Moultrie,IL,-2.6
10631,17141,Ogle,IL,-2.8
10647,17143,Peoria,IL,3.4
10663,17145,Perry,IL,0.4
10679,17147,Piatt,IL,-13.0
10695,17149,Pike,IL,0.8
10711,17151,Pope,IL,4.8
10743,17155,Putnam,IL,-1.8
10759,17157,Randolph,IL,1.0
10775,17159,Richland,IL,3.4
10791,17161,Rock Island,IL,-2.0
10807,17163,St Clair,IL,-0.2
10823,17165,Saline,IL,2.2
10839,17167,Sangamon,IL,-3.4
10855,17169,Schuyler,IL,-0.8
10871,17171,Scott,IL,0.6
10887,17173,Shelby,IL,0.4
10903,17175,Stark,IL,-3.0
10919,17177,Stephenson,IL,-0.6
10935,17179,Tazewell,IL,2.2
10951,17181,Union,IL,0.4
10967,17183,Vermilion,IL,2.6
10983,17185,Wabash,IL,-8.0
10999,17187,Warren,IL,-2.4
11015,17189,Washington,IL,0.2
11031,17191,Wayne,IL,-1.6
11047,17193,White,IL,4.4
11063,17195,Whiteside,IL,-3.4
11079,17197,Will,IL,2.4
11095,17199,Williamson,IL,2.8
11111,17201,Winnebago,IL,6.2
11127,17203,Woodford,IL,-2.6
11143,18001,Adams,IN,1.4
11159,18003,Allen,IN,-5.0
11175,18005,Bartholomew,IN,2.8
11191,18007,Benton,IN,6.4
11207,18009,Blackford,IN,2.0
11223,18011,Boone,IN,-5.0
11239,18013,Brown,IN,3.6
11255,18015,Carroll,IN,3.4
11271,18017,Cass,IN,-3.0
11287,18019,Clark,IN,4.2
11303,18021,Clay,IN,2.2
11319,18023,Clinton,IN,2.4
11335,18025,Crawford,IN,10.8
11351,18027,Daviess,IN,-1.2
11367,18029,Dearborn,IN,3.4
11383,18031,Decatur,IN,6.0
11399,18033,De Kalb,IN,2.2
11415,18035,Delaware,IN,4.8
11431,18037,Dubois,IN,-1.0
11447,18039,Elkhart,IN,-6.0
11463,18041,Fayette,IN,8.8
11479,18043,Floyd,IN,-4.6
11495,18045,Fountain,IN,2.2
11511,18047,Franklin,IN,0.6
